"city","avg_breakfast_basket","avg_efood_basket","breakfast_basket_perc_of_total_basket","avg_breakfast_frequency_per_brfst_user","avg_breakfast_frequency_per_user","avg_order_frequency","breakfast_freq_perc_of_total_order_freq","breakfast_frequent_users_perc_of_breakfast_total_users","frequent_users_perc_of_total_users","orders_percentage_top_10_customers"
"Αγρίνιο",3.75,7.03,53.34,4.52,2.27,5.09,44.6,35.44,40.98,1.84
"Αίγιο",3.71,7.95,46.67,4.41,2.2,4.49,49,32.36,36.83,5.88
"Αλεξανδρούπολη",5.06,8.48,59.67,3.5,1.65,3.75,44,26.79,30.89,1.94
"Άργος",5.16,9.31,55.42,3.11,1.2,3.54,33.9,23.76,30.01,10.25
"Άρτα",4.36,7.53,57.9,3.84,1.91,3.89,49.1,31.84,32.53,5.31
"Βέροια",5.26,9.1,57.8,3.34,1.57,3.85,40.78,26.54,32.69,3.47
"Βόλος",5.13,8.08,63.49,3.73,2.08,4.43,46.95,30.65,38.85,0.89
"Γιαννιτσά",5.82,9.74,59.75,2.56,1.17,2.91,40.21,19.57,23.96,6.85
"Γρεβενά",6.72,8.28,81.16,3.23,2.2,3.99,55.14,24.87,34.83,7.17
"Διδυμότειχο",6.18,7.8,79.23,3.73,2.72,4.48,60.71,32.41,37.12,9.68
"Δράμα",5.46,8.34,65.47,3.69,1.95,4.53,43.05,28.63,38.61,2.52
"Έδεσσα",4.37,8.41,51.96,2.63,0.73,2.85,25.61,17.28,24.01,12.54
"Ζάκυνθος",5.73,9.97,57.47,3.31,1.48,3.68,40.22,28.69,31.71,8.35
"Θήβα",6.54,10.18,64.24,3.49,2.08,4.08,50.98,25.77,33.77,7.05
"Ιωάννινα",5.76,9.12,63.16,3.12,1.28,4.03,31.76,25.72,36.43,0.7
"Λαμία",3.8,8.47,44.86,4.46,1.91,4.87,39.22,34.61,40.42,1.73
"Λάρισα",5.4,8.91,60.61,3.1,1,3.85,25.97,23.91,33.96,0.63
"Λευκάδα",3.49,6.43,54.28,6.13,3.05,5.08,60.04,42.65,34.07,26.62
"Λιβαδειά",4.4,7.57,58.12,3.67,2.15,3.56,60.39,31.36,28.96,11.45
"Μεσολόγγι",4.19,6.38,65.67,4.69,3.24,4.98,65.06,35.46,37.29,12.13
"Νάουσα",3.97,7.32,54.23,3.13,1.3,3.34,38.92,22.73,25,15.57
"Ναύπακτος",4.8,5.37,89.39,5.02,4.52,4.82,93.78,35.11,33.2,28.41
"Ναύπλιο",4.74,8.53,55.57,4.29,2.2,4.22,52.13,32.1,32.97,5.79
"Ξάνθη",4.89,7.23,67.63,4.27,2.38,5.35,44.49,34.56,43.11,1.28
"Ορεστιάδα",4.77,8.09,58.96,3.46,1.41,5.07,27.81,29.23,44.27,3.08
"Ρόδος",6.25,10.31,60.62,3.72,1.55,4.55,34.07,30.56,39.13,1.23
"Φλώρινα",3.99,6.36,62.74,2.95,1.24,3.22,38.51,23.49,29,10.66
