,Πόλη,Πληθυσμός 2011
0,Λάρισα,144.651
1,Βόλος,118.707
2,Ιωάννινα,65.574
3,Αλεξανδρούπολη,57.812
4,Ξάνθη,56.122
5,Αγρίνιο,55.097
6,Λαμία,52.006
7,Ρόδος,49.541
8,Δράμα,44.823
9,Βέροια,43.158
10,Γιαννιτσά,29.789
11,Θήβα,22.883
12,Άργος,22.209
13,Άρτα,21.895
14,Λιβαδειά,21.379
15,Αίγιο,20.422
16,Νάουσα,18.882
17,Ορεστιάδα,18.426
18,Έδεσσα,18.229
19,Φλώρινα,17.686
20,Ναύπλιο,14.203
21,Ναύπακτος,13.415
22,Γρεβενά,13.137
23,Μεσολόγγι,12.785
24,Ζάκυνθος,9.772
25,Διδυμότειχο,9.263
26,Λευκάδα,8.673
